,Ws_avg
2013-07-02 18:00:00+00:00,7.112499975
2013-07-02 18:10:00+00:00,7.43499995
2013-07-02 18:20:00+00:00,7.757499925
2013-07-02 18:30:00+00:00,8.0799999
2013-07-02 18:40:00+00:00,8.8600001
2013-07-02 18:50:00+00:00,9.6400003
2013-07-02 19:00:00+00:00,9.613333666666668
2013-07-02 19:10:00+00:00,9.586667033333333
2013-07-02 19:20:00+00:00,9.5600004
2013-07-02 19:30:00+00:00,11.5
2013-07-02 19:40:00+00:00,9.93499995
2013-07-02 19:50:00+00:00,8.3699999
2013-07-02 20:00:00+00:00,8.4599998
2013-07-02 20:10:00+00:00,8.5499997
2013-07-02 20:20:00+00:00,8.6399996
2013-07-02 20:30:00+00:00,8.7299995
2013-07-02 20:40:00+00:00,7.7399998
2013-07-02 20:50:00+00:00,9.2399998
2013-07-02 21:00:00+00:00,8.3599997
2013-07-02 21:10:00+00:00,9.0299997
2013-07-02 21:20:00+00:00,9.96999985
2013-07-02 21:30:00+00:00,10.91
2013-07-02 21:40:00+00:00,9.5600004
2013-07-02 21:50:00+00:00,9.0699997
2013-07-02 22:00:00+00:00,8.4799998
2013-07-02 22:10:00+00:00,7.8899999
2013-07-02 22:20:00+00:00,8.3699999
2013-07-02 22:30:00+00:00,8.8499999
2013-07-02 22:40:00+00:00,9.3299999
2013-07-02 22:50:00+00:00,9.089999833333334
2013-07-02 23:00:00+00:00,8.849999766666667
2013-07-02 23:10:00+00:00,8.6099997
2013-07-02 23:20:00+00:00,8.6774998
2013-07-02 23:30:00+00:00,8.7449999
2013-07-02 23:40:00+00:00,8.8125
2013-07-02 23:50:00+00:00,8.8800001
2013-07-03 00:00:00+00:00,8.3800001
2013-07-03 00:10:00+00:00,7.8800001
2013-07-03 00:20:00+00:00,9.0100002
2013-07-03 00:30:00+00:00,8.616666766666667
2013-07-03 00:40:00+00:00,8.223333333333333
2013-07-03 00:50:00+00:00,7.8299999
2013-07-03 01:00:00+00:00,7.985000100000001
2013-07-03 01:10:00+00:00,8.1400003
2013-07-03 01:20:00+00:00,7.800000166666667
2013-07-03 01:30:00+00:00,7.460000033333333
2013-07-03 01:40:00+00:00,7.1199999
2013-07-03 01:50:00+00:00,7.220000049999999
2013-07-03 02:00:00+00:00,7.3200002
2013-07-03 02:10:00+00:00,7.2400001
2013-07-03 02:20:00+00:00,7.16
2013-07-03 02:30:00+00:00,7.0799999
2013-07-03 02:40:00+00:00,7.365
2013-07-03 02:50:00+00:00,7.6500001
2013-07-03 03:00:00+00:00,7.77
2013-07-03 03:10:00+00:00,8.615
2013-07-03 03:20:00+00:00,9.46
2013-07-03 03:30:00+00:00,9.3500004
2013-07-03 03:40:00+00:00,9.4750004
2013-07-03 03:50:00+00:00,9.6000004
2013-07-03 04:00:00+00:00,9.236667
2013-07-03 04:10:00+00:00,8.8733336
2013-07-03 04:20:00+00:00,8.5100002
2013-07-03 04:30:00+00:00,7.71
2013-07-03 04:40:00+00:00,7.473333333333334
2013-07-03 04:50:00+00:00,7.236666666666666
2013-07-03 05:00:00+00:00,7.0
2013-07-03 05:10:00+00:00,7.176249975
